rank,person_name,total_amount_active_period,total_contracts_active_period,active_companies_with_ops,active_operation_days,main_position,main_position_amount,companies_sample
1,FINYCAR SL,1127601654.03,459,2,401,ORGANO_GOBIERNO,1073456481.71,CORPORACION CLD SERVICIOS URBANOS DE TRATAMIENTO DE RESIDUOS SL (B08173411) | SORIGUE SA (A25007832)
2,COMSA EMTE MEDIO AMBIENTE SL,1083579052.43,406,4,302,ORGANO_GOBIERNO,1083579052.43,CORPORACION CLD SERVICIOS URBANOS DE TRATAMIENTO DE RESIDUOS SL (B08173411) | ATLAS GESTION MEDIOAMBIENTAL SA (A60963287) | TRATAMIENTOS Y RECUPERACIONES INDUSTRIALES SA (A80309149) | EMPRESA MUNICIPAL DE SERVEIS PUBLICS SOCIEDAD LIMITADA (B43680479)
3,ACSA OBRAS E INFRAESTRUCTURAS SA,1073456631.71,215,2,190,ORGANO_GOBIERNO,1073456631.71,CORPORACION CLD SERVICIOS URBANOS DE TRATAMIENTO DE RESIDUOS SL (B08173411) | GESTORA DE RUNES DE LA CONSTRUCCIO SA (A60715901)
4,SORIGUE SA,1073456481.71,214,1,189,ORGANO_GOBIERNO,1073456481.71,CORPORACION CLD SERVICIOS URBANOS DE TRATAMIENTO DE RESIDUOS SL (B08173411)
5,STEEN VANGSGAARD,680882060.91,417,1,292,ORGANO_GOBIERNO,680882060.91,MYLAN PHARMACEUTICALS SL (B62735675)
6,MYLAN EMEA SAS,680882060.91,417,1,292,ORGANO_GOBIERNO,680882060.91,MYLAN PHARMACEUTICALS SL (B62735675)
7,GONZALEZ CANALEJAS ELENA,680882060.91,417,1,292,ORGANO_GOBIERNO,680882060.91,MYLAN PHARMACEUTICALS SL (B62735675)
8,ANITUA IRIARTE JAVIER,680882060.91,417,1,292,ORGANO_GOBIERNO,680882060.91,MYLAN PHARMACEUTICALS SL (B62735675)
9,ARTUR ZYGMUNT CWIOK,680882060.91,417,1,292,ORGANO_GOBIERNO,679072023.47,MYLAN PHARMACEUTICALS SL (B62735675)
10,CHRISTOPHE JEAN RAPHAEL MATHIEU MAUPAS,680882060.91,417,1,292,ADMINISTRADOR,680882060.91,MYLAN PHARMACEUTICALS SL (B62735675)
11,JOAO MIGUEL SEQUEIRA SILVA MADEIRA,679072023.47,407,1,282,ORGANO_GOBIERNO,679072023.47,MYLAN PHARMACEUTICALS SL (B62735675)
12,VICENTE MAÑEZ SERGIO,659625038.81,152,1,103,ORGANO_GOBIERNO,659625038.81,V L TRANSPORT SANITARI SL (B58552712)
13,VICENTE LAZARO VICENTE,659625038.81,152,1,103,ORGANO_GOBIERNO,659625038.81,V L TRANSPORT SANITARI SL (B58552712)
14,VICENTE MAÑEZ EVA MARIA,659625038.81,152,1,103,ORGANO_GOBIERNO,659625038.81,V L TRANSPORT SANITARI SL (B58552712)
15,ALLAN SOGAARD LARSEN,659625038.81,152,1,103,ORGANO_GOBIERNO,659625038.81,V L TRANSPORT SANITARI SL (B58552712)
16,HANS JENSEN,659625038.81,152,1,103,ORGANO_GOBIERNO,659625038.81,V L TRANSPORT SANITARI SL (B58552712)
17,DOMINGUIS PEREZ HECTOR JERONIMO,659625038.81,152,1,103,ORGANO_GOBIERNO,659625038.81,V L TRANSPORT SANITARI SL (B58552712)
18,JESPER TEDDY LOK,659625038.81,152,1,103,ORGANO_GOBIERNO,659625038.81,FALCK VL SERVICIOS SANITARIOS SL (B58552712)
19,JACOB JUST BOMHOLT,659624083.06,144,1,102,ORGANO_GOBIERNO,659624083.06,FALCK VL SERVICIOS SANITARIOS SL (B58552712)
20,MIKAEL KJAERGAARD,659624083.06,144,1,102,ORGANO_GOBIERNO,659624083.06,FALCK VL SERVICIOS SANITARIOS SL (B58552712)
21,VL ASISTENCIAL SL,659624083.06,144,1,102,ORGANO_GOBIERNO,659624083.06,FALCK VL SERVICIOS SANITARIOS SL (B58552712)
22,LARS BJORN HEINEKE,659623725.56,143,1,101,ORGANO_GOBIERNO,659623725.56,FALCK VL SERVICIOS SANITARIOS SL (B58552712)
23,VILLENA CONTRERAS LUIS,659497846.02,1492,11,1248,ADMINISTRADOR,507114070.47,ACSA OBRAS E INFRAESTRUCTURAS SA (A08112716) | CONSTRAULA ENGINYERIA I OBRES SA (A58142639) | AMBITEC SERVICIOS AMBIENTALES SA (A65208084) | SORIGUE SA (A25007832) | INFRAESTRUCTURAS TRADE SL (B65866006) | FIRTEC SA (A60493582) | COUTEX EQUIPOS Y PROYECTOS SA (A64569064) | NORDVERT SL (B43540285)
24,LARS TUE TOFTILD,656472512.68,136,1,94,ORGANO_GOBIERNO,656472512.68,FALCK VL SERVICIOS SANITARIOS SL (B58552712)
25,BUXO FITA MIGUEL,656472512.68,136,1,94,ORGANO_GOBIERNO,656472512.68,FALCK VL SERVICIOS SANITARIOS SL (B58552712)
26,TUSELL COLOMA JORDI,655705176.51,117,1,77,ORGANO_GOBIERNO,655705176.51,FALCK SERVICIOS SANITARIOS S.L (B58552712)
27,TOMAH MENGU,655705176.51,117,1,77,ORGANO_GOBIERNO,655705176.51,FALCK SERVICIOS SANITARIOS S.L (B58552712)
28,LARS DAM JENSEN,654552860.11,39,1,32,ORGANO_GOBIERNO,654552860.11,FALCK SERVICIOS SANITARIOS S.L (B58552712)
29,PETER MADVIG,654552860.11,39,1,32,ORGANO_GOBIERNO,654552860.11,FALCK SERVICIOS SANITARIOS S.L (B58552712)
30,CLIMENT MOTES VICENTE,642615817.22,126,5,115,ORGANO_GOBIERNO,642615817.22,TRANSPORTES URBANOS Y SERVICIOS GENERALES SAL (A58011339) | TRANSPORTES GENERALES DE OLESA SA (A08006967) | CINESI SL (B61156816) | TELETRANSFER SL (B60138955) | AUTOS CASTELLBISBAL SA (A08937971)
31,LOPEZ MOLINA PEDRO,642615817.22,126,5,115,ORGANO_GOBIERNO,642615817.22,TRANSPORTES URBANOS Y SERVICIOS GENERALES SAL (A58011339) | TRANSPORTES GENERALES DE OLESA SA (A08006967) | CINESI SL (B61156816) | TELETRANSFER SL (B60138955) | AUTOS CASTELLBISBAL SA (A08937971)
